,Fall,Major Name,Male,Female
796,1984,Classics,4,1
797,1984,Communication,18,19
798,1984,Community Health,32,62
799,1984,Comparative Literature,15,21
800,1984,Computer Engineering,408,76
801,1984,Computer Science,715,219
802,1984,Crafts,8,8
803,1984,DAIRY SCI,50,18
804,1984,DIETETICS,4,65
805,1984,Dance,5,38
806,1984,ED POL ST,27,31
807,1984,ED SEC&CON,44,71
808,1984,EDUC ELEMENTARY,10,110
809,1984,EDUC GEN,30,112
810,1984,EDUC IDISC,1,1
811,1984,ENGR MECH,36,10
812,1984,ENGR PHYS,73,8
813,1984,ENV ENGR,30,7
814,1984,ENV SCI,8,2
815,1984,EXT EDUC,8,6
816,1984,Early Childhood Education,2,70
817,1984,Economics,144,38
818,1984,Ed Organization and Leadership,52,54
819,1984,Educ Voc Tech,53,51
820,1984,Educational Psychology,57,76
821,1984,Electrical Engineering,1543,212
822,1984,Elementary Education,17,331
823,1984,English,51,63
